fiscal_period_end,total_equity,total_debt,cash_and_equivalents,revenue,gross_profit,operating_income,ebit,net_income,shares_outstanding,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebit_ttm,net_income_ttm,ticker
2016-09-30,87110000000.0,255889000000.0,99535000000.0,,,6907000000.0,6907000000.0,5051000000.0,399211902.0,,,,,,GS
2016-12-31,86893000000.0,197491000000.0,121711000000.0,,,-2218000000.0,-2218000000.0,-1745000000.0,392632230.0,,,10304000000.0,10304000000.0,7398000000.0,GS
2017-03-31,86917000000.0,210497000000.0,123035000000.0,,,2539000000.0,2539000000.0,2255000000.0,394791563.0,,,11267000000.0,11267000000.0,8518000000.0,GS
2017-06-30,86675000000.0,215993000000.0,110888000000.0,,,5048000000.0,5048000000.0,4086000000.0,388213152.0,,,12276000000.0,12276000000.0,9647000000.0,GS
2017-09-30,86292000000.0,223707000000.0,116610000000.0,,,8024000000.0,8024000000.0,6214000000.0,379098583.0,,,13393000000.0,13393000000.0,10810000000.0,GS
2017-12-31,82243000000.0,227579000000.0,110051000000.0,,,,,,374808805.0,,,,,,GS
2018-03-31,83579000000.0,236673000000.0,120503000000.0,,,3419000000.0,3419000000.0,2832000000.0,377706096.0,,,,,,GS
2018-06-30,86599000000.0,239387000000.0,131417000000.0,,,6695000000.0,6695000000.0,5397000000.0,377879137.0,,,,,,GS
2018-09-30,86762000000.0,242132000000.0,118871000000.0,,,9773000000.0,9773000000.0,7921000000.0,372739352.0,,,,,,GS
2018-12-31,90185000000.0,236027000000.0,130547000000.0,,,-7406000000.0,-7406000000.0,-5691000000.0,367741973.0,,,12481000000.0,12481000000.0,10459000000.0,GS
2019-03-31,90273000000.0,237275000000.0,87884000000.0,,,2719000000.0,2719000000.0,2251000000.0,366771581.0,,,11781000000.0,11781000000.0,9878000000.0,GS
2019-06-30,90892000000.0,231723000000.0,91092000000.0,,,5846000000.0,5846000000.0,4672000000.0,360539618.0,,,10932000000.0,10932000000.0,9153000000.0,GS
2019-09-30,92012000000.0,228723000000.0,94094000000.0,,,8262000000.0,8262000000.0,6549000000.0,357509026.0,,,9421000000.0,9421000000.0,7781000000.0,GS
2019-12-31,90265000000.0,18308000000.0,133546000000.0,,,-6244000000.0,-6244000000.0,-5006000000.0,347343184.0,,,10583000000.0,10583000000.0,8466000000.0,GS
2020-03-31,92379000000.0,20698000000.0,105489000000.0,,,1348000000.0,1348000000.0,1213000000.0,343856654.0,,,9212000000.0,9212000000.0,7428000000.0,GS
2020-06-30,90029000000.0,20737000000.0,132599000000.0,,,2639000000.0,2639000000.0,1586000000.0,343935256.0,,,6005000000.0,6005000000.0,4342000000.0,GS
2020-09-30,92650000000.0,21562000000.0,153201000000.0,,,6938000000.0,6938000000.0,4953000000.0,344070790.0,,,4681000000.0,4681000000.0,2746000000.0,GS
2020-12-31,95932000000.0,26044000000.0,155842000000.0,,,1554000000.0,1554000000.0,1707000000.0,344088725.0,,,12479000000.0,12479000000.0,9459000000.0,GS
2021-03-31,97664000000.0,8209000000.0,191155000000.0,,,8337000000.0,8337000000.0,6836000000.0,340018220.0,,,19468000000.0,19468000000.0,15082000000.0,GS
2021-06-30,101890000000.0,10710000000.0,240289000000.0,,,15177000000.0,15177000000.0,12322000000.0,337276277.0,,,32006000000.0,32006000000.0,25818000000.0,GS
2021-09-30,106297000000.0,4752000000.0,211830000000.0,,,22019000000.0,22019000000.0,17700000000.0,334792980.0,,,47087000000.0,47087000000.0,38565000000.0,GS
2021-12-31,109926000000.0,6730000000.0,261036000000.0,,,-18489000000.0,-18489000000.0,-15223000000.0,333573254.0,,,27044000000.0,27044000000.0,21635000000.0,GS
2022-03-31,115239000000.0,9264000000.0,274164000000.0,,,4656000000.0,4656000000.0,3939000000.0,343396311.0,,,23363000000.0,23363000000.0,18738000000.0,GS
2022-06-30,117871000000.0,10091000000.0,288606000000.0,,,8200000000.0,8200000000.0,6866000000.0,341963005.0,,,16386000000.0,16386000000.0,13282000000.0,GS
2022-09-30,119290000000.0,5152000000.0,284251000000.0,,,11956000000.0,11956000000.0,9935000000.0,339103013.0,,,6323000000.0,6323000000.0,5517000000.0,GS
2022-12-31,117189000000.0,60961000000.0,241825000000.0,,,-11326000000.0,-11326000000.0,-9479000000.0,334918639.0,,,13486000000.0,13486000000.0,11261000000.0,GS
2023-03-31,117509000000.0,3207000000.0,229327000000.0,,,3993000000.0,3993000000.0,3234000000.0,332884318.0,,,12823000000.0,12823000000.0,10556000000.0,GS
2023-06-30,116493000000.0,79000000.0,270931000000.0,,,5729000000.0,5729000000.0,4450000000.0,330811807.0,,,10352000000.0,10352000000.0,8140000000.0,GS
2023-09-30,117277000000.0,1455000000.0,239879000000.0,,,8485000000.0,8485000000.0,6508000000.0,326604718.0,,,6881000000.0,6881000000.0,4713000000.0,GS
2023-12-31,116905000000.0,75945000000.0,241577000000.0,,,-7468000000.0,-7468000000.0,-5676000000.0,323376354.0,,,10739000000.0,10739000000.0,8516000000.0,GS
2024-03-31,118546000000.0,78603000000.0,209385000000.0,,,5237000000.0,5237000000.0,4132000000.0,324014481.0,,,11983000000.0,11983000000.0,9414000000.0,GS
2024-06-30,119463000000.0,76769000000.0,206326000000.0,,,9153000000.0,9153000000.0,7175000000.0,316162882.0,,,15407000000.0,15407000000.0,12139000000.0,GS
2024-09-30,121200000000.0,75371000000.0,154689000000.0,,,13140000000.0,13140000000.0,10165000000.0,314190854.0,,,20062000000.0,20062000000.0,15796000000.0,GS
2024-12-31,121996000000.0,69709000000.0,182092000000.0,,,-9133000000.0,-9133000000.0,-7196000000.0,310653708.0,,,18397000000.0,18397000000.0,14276000000.0,GS
2025-03-31,124300000000.0,70974000000.0,167408000000.0,,,5647000000.0,5647000000.0,4738000000.0,307628584.0,,,18807000000.0,18807000000.0,14882000000.0,GS
2025-06-30,124096000000.0,69004000000.0,152967000000.0,,,10605000000.0,10605000000.0,8461000000.0,302850808.0,,,20259000000.0,20259000000.0,16168000000.0,GS
2025-09-30,124402000000.0,72385000000.0,169577000000.0,,,15997000000.0,15997000000.0,12559000000.0,300124881.0,,,23116000000.0,23116000000.0,18562000000.0,GS
2008-07-31,2080000000.0,,413000000.0,2993000000.0,,644000000.0,644000000.0,477000000.0,329000000.0,,,,,,INTU
2008-10-31,1954000000.0,,169000000.0,481000000.0,,-76000000.0,-76000000.0,-52000000.0,323000000.0,,,,,,INTU
